Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2013,Kritzmannstraße,Primary School,General Education School System,Municipal,8,157
2013,Nordwest,Primary School,General Education School System,Municipal,9,191
2013,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,139
2013,Am Fliederhof,Primary School,General Education School System,Municipal,8,131
2013,Am Grenzweg,Primary School,General Education School System,Municipal,11,188
2013,Am Westernplan,Primary School,General Education School System,Municipal,8,139
2013,Stormstr.,Primary School,General Education School System,Municipal,5,95
2013,Annastr.,Primary School,General Education School System,Municipal,12,235
2013,Am Glacis,Primary School,General Education School System,Municipal,8,153
2013,Am Westring,Primary School,General Education School System,Municipal,8,149
2013,Schmeilstr.,Primary School,General Education School System,Municipal,4,77
2013,Diesdorf,Primary School,General Education School System,Municipal,9,173
2013,Amsdorfstr.,Primary School,General Education School System,Municipal,9,203
2013,Friedenshöhe,Primary School,General Education School System,Municipal,10,202
2013,Ottersleben,Primary School,General Education School System,Municipal,18,401
2013,Lindenhof,Primary School,General Education School System,Municipal,19,288
2013,Am Hopfengarten,Primary School,General Education School System,Municipal,8,178
2013,Buckau,Primary School,General Education School System,Municipal,8,155
2013,Salbke,Primary School,General Education School System,Municipal,10,177
2013,Westerhüsen,Primary School,General Education School System,Municipal,4,73
2013,Am Elbdamm,Primary School,General Education School System,Municipal,8,158
2013,Am Brückfeld,Primary School,General Education School System,Municipal,8,185
2013,Am Pechauer Platz,Primary School,General Education School System,Municipal,9,194
2013,Rothensee,Primary School,General Education School System,Municipal,6,93
2013,St. Mechthild,Primary School,General Education School System,Independent/Private,8,163
2013,Freie GS,Primary School,General Education School System,Independent/Private,4,92
2013,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,164
2013,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,166
2013,G.W.Leibniz,Secondary School,General Education School System,Municipal,17,318
2013,Th.Müntzer,Secondary School,General Education School System,Municipal,14,295
2013,W.Weitling,Secondary School,General Education School System,Municipal,13,259
2013,O.Linke,Secondary School,General Education School System,Municipal,14,300
2013,J.W.v.Goethe,Secondary School,General Education School System,Municipal,15,302
2013,E.Wille,Secondary School,General Education School System,Municipal,12,247
2013,A.W.Francke,Secondary School,General Education School System,Municipal,15,318
2013,H.Heine,Secondary School,General Education School System,Municipal,13,271
2013,Th.Mann,Secondary School,General Education School System,Municipal,12,259
2013,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,272
2013,LebenLernen,Secondary School,General Education School System,Independent/Private,6,140
2013,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,957
2013,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,36,879
2013,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,860
2013,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,559
2013,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,28,554
2013,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,35,871
2013,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,32,846
