Year,Institution,Origin,Students_Total,Students_Male,Students_Female,First_Semester_Total,First_Semester_Male,First_Semester_Female
2023,Otto von Guericke University Magdeburg,Albania,37,11,26,6,,
2023,Otto von Guericke University Magdeburg,Algeria,,0,0,0,0,0
2023,Otto von Guericke University Magdeburg,Angola,,,,0,0,0
2023,Otto von Guericke University Magdeburg,Syria,147,108,39,21,14,7
2023,Otto von Guericke University Magdeburg,Argentina,7,,,5,,
2023,Otto von Guericke University Magdeburg,Armenia,4,,,,,
2023,Otto von Guericke University Magdeburg,Azerbaijan,56,31,25,14,10,4
2023,Otto von Guericke University Magdeburg,Ethiopia,5,,,,0,0
2023,Otto von Guericke University Magdeburg,Australia,,0,0,0,0,0
2023,Otto von Guericke University Magdeburg,Bangladesh,191,133,58,25,17,8
2023,Otto von Guericke University Magdeburg,Belarus,9,5,4,,,
